Pose,Hole,Y-offset,Z-offset,Y-CapOffset,Z-CapOffset
2,-2,19.008,15,25.008,21
2,-1,29.008,15,35.008,21
2,0,39.008,15,45.008,21
3,-1,2.561,15,8.561,21
3,0,9.561,15,15.561,21
3,1,14.451,15,20.451,21
5,-4,-0.992,20,5.008,26
5,-3,9.008,20,15.008,26
5,-2,19.008,20,25.008,26
5,-1,29.008,20,35.008,26
5,0,39.008,20,45.008,26
5,1,49.008,20,55.008,26
5,2,59.008,20,65.008,26
5,3,69.008,20,75.008,26
5,4,79.008,20,85.008,26
6,-1,0.5,20,6.5,26
6,0,7.5,20,13.5,26
6,1,14.5,20,20.5,26
9,-1,0.439,80,6.439,86
9,0,10.439,80,16.439,86
9,1,20.439,80,26.439,86
10,-1,0.5,80,6.5,86
10,0,7.5,80,13.5,86
10,1,14.5,80,20.5,86
